Title,Price,Category_path,Rating,Qty_califications
Triolo con lamas y dos cajones,124.99,Inicio>Muebles Lufe>Literas>Litera 90,4.5,144
Cama sofá 90 con colchón y respaldo,179.96,Inicio>Muebles Lufe>Camas>Cama compacta con lamas y cajón largo,4.1,16
Cama sofá con lamas,354.97,Inicio>Muebles Lufe>Camas>Cama compacta completa y cajón largo,4.3,9
Bancada nido 90 con colchón,399.95,Inicio>Muebles Lufe>Camas>Litera 90 con nido y colchones,4.5,67
Cama sofá con lamas y cajón de almacenaje,174.97,Inicio>Muebles Lufe>Literas>Litera 90 con cajones,4.3,72
Cama de matrimonio completa y dos cajones,119.99,Inicio>Muebles Lufe>Camas>Camas apilables>Cama apilable x 2,4.5,31
Cama nido sofá completa,109.96,Inicio>Muebles Lufe>Camas>Cama de matrimonio con lamas y dos cajones,4.3,17
Bancada de cama de matrimonio completa con cajones,195.97,Inicio>Muebles Lufe>Camas>Camas sofá>Cama sofá completa con cajón,3.5,2
Litera triolo con nido y colchones,439.96,Inicio>Muebles Lufe>Camas>Camas compactas>Cama compacta completa con nido,4.1,9
Cama compacta con lamas y dos cajones,169.98,Inicio>Muebles Lufe>Camas>Camas compactas>Cama compacta con lamas y nido,4.3,34
Cama compacta completa y dos cajones,259.96,Inicio>Muebles Lufe>Camas>Cama de matrimonio completa con cajón,4.7,11
Cama apilable con colchón x 2,113.95,Inicio>Muebles Lufe>Camas>Camas sofá>Cama sofá con lamas y cajones,4.4,20
Litera 90 con cajón,209.97,Inicio>Muebles Lufe>Camas>Triolo con lamas y dos cajones,4.2,40
Litera triolo con nido,209.98,Inicio>Muebles Lufe>Camas>Camas sofá>Cama sofá 90 con colchón y respaldo,4.5,8
Litera triolo con lamas,63.97,Inicio>Muebles Lufe>Camas>Camas sofá>Cama sofá con lamas,4.5,34
Litera 90 con cajones y colchones,253.95,Inicio>Muebles Lufe>Camas>Camas nido>Bancada nido 90 con colchón,4.3,8
Cama de matrimonio con lamas y cajón largo,113.95,Inicio>Muebles Lufe>Camas>Camas sofá>Cama sofá con lamas y cajón de almacenaje,4.7,3
Cama de matrimonio con lamas y cajón,249.97,Inicio>Muebles Lufe>Camas>Cama de matrimonio completa y dos cajones,4.5,13
Cama sofá completa con cajones,279.97,Inicio>Muebles Lufe>Camas>Cama nido sofá completa,4.2,48
Cama sofá completa con respaldo y cajón,239.95,Inicio>Muebles Lufe>Camas>Camas de matrimonio>Bancada de cama de matrimonio completa con cajones,4.5,6
Litera 90 con cajón y colchones,529.95,Inicio>Muebles Lufe>Literas>Litera triolo con nido y colchones,4.2,26
Cama nido sofá con lamas,179.98,Inicio>Muebles Lufe>Camas>Cama compacta con lamas y dos cajones,4.4,87
Cama compacta con lamas,329.97,Inicio>Muebles Lufe>Camas>Camas compactas>Cama compacta completa y dos cajones,4.5,33
Litera 90 con nido,289.99,Inicio>Muebles Lufe>Camas>Camas apilables>Cama apilable con colchón x 2,4.4,31
Litera Montessori 90,174.98,Inicio>Muebles Lufe>Literas>Litera 90 con cajón,4.5,19
Cama sofá completa con respaldo y cajones,199.98,Inicio>Muebles Lufe>Literas>Litera triolo con nido,4.3,35
Cama de matrimonio con lamas y cajones,159.99,Inicio>Muebles Lufe>Literas>Litera triolo con lamas,4.3,71
Cama de matrimonio completa con cajones,59.98,Inicio>Muebles Lufe>Camas>Camas de matrimonio>Cama de matrimonio con lamas,4.5,51
Armario,349.96,Inicio>Muebles Lufe>Camas>Litera 90 con cajones y colchones,4.4,63
Barrera de protección,109.96,Inicio>Muebles Lufe>Camas>Cama de matrimonio con lamas y cajón largo,4.6,9
Estantería Asimétrica - 2 baldas,119.97,Inicio>Muebles Lufe>Camas>Cama de matrimonio con lamas y cajón,4.5,19
Cabecero 4 lamas cama 90,199.97,Inicio>Muebles Lufe>Camas>Camas sofá>Cama sofá completa con cajones,4.3,3
Litera 105,255.96,Inicio>Muebles Lufe>Camas>Camas sofá>Cama sofá completa con respaldo y cajón,4.7,3
Estructura de cama sofá,349.98,Inicio>Muebles Lufe>Camas>Litera 90 con cajón y colchones,4.5,19
Estantería Asimétrica - 5 baldas,99.99,Inicio>Muebles Lufe>Camas>Camas sofá>Cama nido sofá con lamas,4.1,93
Estantería Asimétrica - 4 baldas,129.97,Inicio>Muebles Lufe>Camas>Camas compactas>Cama compacta con lamas,4.6,22
Estantería Asimétrica - 6 baldas,209.97,Inicio>Muebles Lufe>Camas>Cama de matrimonio completa,4.6,106
Estantería Asimétrica - 7 baldas,164.98,Inicio>Muebles Lufe>Literas>Litera 90 con nido,4.4,134
Estructura de cama de matrimonio,249.95,Inicio>Muebles Lufe>Camas>Camas de matrimonio>Cama de matrimonio completa con cajón,4.5,4
Estructura bancada de matrimonio,124.99,Inicio>Muebles Lufe>Literas>Litera Montessori 90,4.5,98
Lamas de 105,259.96,Inicio>Muebles Lufe>Camas>Camas sofá>Cama sofá completa con respaldo y cajones,4.7,6
Cajón doble de almacenaje cama 90/105,119.96,Inicio>Muebles Lufe>Camas>Camas de matrimonio>Cama de matrimonio con lamas y cajones,4.3,27
Cajón doble cama de matrimonio,259.95,Inicio>Muebles Lufe>Camas>Cama de matrimonio completa con cajones,4.5,23
Arrastre nido 80 con colchón,249.99,Inicio>Muebles Lufe>Muebles de almacenaje>Armario,4.2,140
Pack de dos cojines,14.99,Inicio>Muebles Lufe>Camas>Barrera de protección,4.5,339
Cajón largo de almacenaje cama 90/105,29.99,Inicio>Muebles Lufe>Estanterías  de madera>Estanterías Asimétricas>Estantería Asimétrica - 2 baldas,4.7,28
Lamas de 150,19.99,Inicio>Muebles Lufe>Camas>Cabecero 4 lamas cama 90,4.5,78
Arrastre nido 80,149.99,Inicio>Litera 105,5,1
Cajón largo cama de matrimonio,49.99,Inicio>Muebles Lufe>Camas>Camas sofá>Estructura de cama sofá,4.4,7
Mesilla ,59.99,Inicio>Muebles Lufe>Estanterías  de madera>Estanterías Asimétricas>Estantería Asimétrica - 5 baldas,4.7,33
Arrastre nido 90,49.99,Inicio>Muebles Lufe>Estanterías  de madera>Estanterías Asimétricas>Estantería Asimétrica - 4 baldas,4.5,91
Lamas de 135,69.99,Inicio>Muebles Lufe>Estanterías  de madera>Estanterías Asimétricas>Estantería Asimétrica - 6 baldas,4.6,54
Mesilla con pata ,79.99,Inicio>Muebles Lufe>Estanterías  de madera>Estanterías Asimétricas>Estantería Asimétrica - 7 baldas,4.5,89
Lamas de 90,49.99,Inicio>Muebles Lufe>Camas>Camas de matrimonio>Estructura de cama de matrimonio,4.8,21
Respaldo cama sofá,39.99,Inicio>Muebles Lufe>Camas>Camas de matrimonio>Estructura de cama de matrimonio,5,1
Lamas de 180,29.99,Inicio>Muebles Lufe>Camas>Camas de matrimonio>Estructura bancada de matrimonio,4.4,12
Estante de pared 44x21,16.99,Inicio>Muebles Lufe>Camas>Lamas de 105,3,1
Estante de pared 84x21,49.98,Inicio>Muebles Lufe>Camas>Accesorios>Cajón doble de almacenaje cama 90/105,4.3,61
Ambiente cama de matrimonio con mesillas,49.98,Inicio>Muebles Lufe>Camas>Accesorios>Cajón doble cama de matrimonio,4.5,54
Ambiente cama de matrimonio con almohadas y mesillas,129.98,Inicio>Muebles Lufe>Camas>Arrastre nido 80 con colchón,4,10
Colchón de 190x105 en 21 de espesor,11.99,Inicio>Muebles Lufe>Camas>Accesorios>Pack de dos cojines,4.5,29
Cabecero 4 lamas cama 105,49.99,Inicio>Muebles Lufe>Camas>Accesorios>Cajón largo de almacenaje cama 90/105,4.1,24
Colchón de 200x105 en 21 de espesor,21.99,Inicio>Muebles Lufe>Camas>Lamas de 150,5,3
Perchero Beka 165x100,39.99,Inicio>Muebles Lufe>Camas>Arrastre nido 80,4.5,2
Perchero Beka 165x130,49.99,Inicio>Muebles Lufe>Camas>Accesorios>Cajón largo cama de matrimonio,4.6,25
Perchero Beka 165x70,3.98,Inicio>Muebles Lufe>Camas>Accesorios>Mesilla ,4.2,41
Conjunto jardín sofá con dos sillones y mesa baja,39.99,Inicio>Muebles Lufe>Camas>Arrastre nido 90,4.4,46
Iruxil W Teka mate,19.99,Inicio>Muebles Lufe>Camas>Lamas de 135,4.8,4
Iruxil W Blanco mate,6.98,Inicio>Muebles Lufe>Camas>Mesilla con pata ,4.2,44
Sofá jardín módulo con brazo izquierdo,13.99,Inicio>Muebles Lufe>Camas>Lamas de 90,4.7,23
Iruxil W Nogal mate,59.99,Inicio>Muebles Lufe>Camas>Accesorios>Respaldo cama sofá,4,29
Iruxil W Incoloro mate,29.99,Inicio>Muebles Lufe>Camas>Lamas de 180,5,2
Conjunto jardín sofá esquinero,7.99,Inicio>Muebles Lufe>Decoración>Decoración de pared>Estante de pared 44x21,4.9,13
Sofá jardín módulo puf,9.99,Inicio>Muebles Lufe>Decoración>Decoración de pared>Estante de pared 84x21,4.9,14
Sofá jardín módulo con dos brazos,66.96,Inicio>Muebles Lufe>Ambientes>Dormitorios>Dormitorios de matrimonio>Ambiente cama de matrimonio con mesillas,4.8,9
Iruxil W Castaño mate,249.99,Inicio>Muebles Lufe>Ambientes>Dormitorios>Dormitorios de matrimonio>Ambiente cama de matrimonio con almohadas y mesillas,4.8,10
Iruxil W Nogal oscuro mate,109.99,Inicio>Muebles Lufe>Camas>Colchones y almohadas>Colchón de 190x105 en 21 de espesor,3.5,8
Mesa de centro,24.99,Inicio>Muebles Lufe>Camas>Cabeceros>Cabecero 4 lamas cama 105,4.5,11
Sofá jardín módulo con brazo derecho,119.99,Inicio>Muebles Lufe>Camas>Colchones y almohadas>Colchón de 200x105 en 21 de espesor,5,3
Sofá jardín módulo con respaldo,54.99,Inicio>Muebles Lufe>Muebles de almacenaje>Percheros>Perchero Beka 165x100,4.5,27
Iruxil W Roble mate,59.99,Inicio>Muebles Lufe>Muebles de almacenaje>Percheros>Perchero Beka 165x130,4.7,11
Conjunto de jardín sofá doble,49.99,Inicio>Muebles Lufe>Muebles de almacenaje>Percheros>Perchero Beka 165x70,4.5,41
Conjunto jardín sofá tresillo,324.92,Inicio>Muebles Lufe>Muebles de jardín>Conjunto jardín sofá con dos sillones y mesa baja,4,2
Cabecero 9H cama 90,9.99,Inicio>Muebles Lufe>Barnices y aceites>Barnices>Iruxil W Teka mate,4.4,19
Cabecero 4  lamas con patas cama 90,9.99,Inicio>Muebles Lufe>Barnices y aceites>Barnices>Iruxil W Blanco mate,4.5,70
Cabecero 4 con patas cama matrimonio,69.98,Inicio>Muebles Lufe>Muebles de jardín>Sofá jardín módulo con brazo izquierdo,5,2
Cabecero 4 lamas cama de matrimonio,9.99,Inicio>Muebles Lufe>Barnices y aceites>Barnices>Iruxil W Nogal mate,4.8,11
Cabecero 4 lamas cama 80,9.99,Inicio>Muebles Lufe>Barnices y aceites>Barnices>Iruxil W Incoloro mate,4.5,132
Estructura de cama compacta,279.99,Inicio>Muebles Lufe>Muebles de jardín>Conjunto jardín sofá esquinero,4.6,27
Perchero Beka 180x100,49.98,Inicio>Muebles Lufe>Muebles de jardín>Sofá jardín módulo puf,4.3,7
Perchero Beka 180x70,74.98,Inicio>Muebles Lufe>Muebles de jardín>Sofá jardín módulo con dos brazos,5,1
Perchero Beka 180x130,9.99,Inicio>Muebles Lufe>Barnices y aceites>Barnices>Iruxil W Castaño mate,4.5,4
Sofá módulo puf,9.99,Inicio>Muebles Lufe>Barnices y aceites>Barnices>Iruxil W Nogal oscuro mate,4.3,4
Conjunto sillón esquinero,59.99,Inicio>Muebles Lufe>Mesas de madera>Mesas de centro>Mesa de centro,4.6,46
Sofá módulo con brazo izquierdo,69.98,Inicio>Muebles Lufe>Muebles de jardín>Sofá jardín módulo con brazo derecho,4.3,4
Sofá módulo con brazo derecho,59.98,Inicio>Muebles Lufe>Muebles de jardín>Sofá jardín módulo con respaldo,4.5,16
Conjunto sofá tresillo,9.99,Inicio>Muebles Lufe>Barnices y aceites>Barnices>Iruxil W Roble mate,4.8,12
Sofá módulo con dos brazos,129.97,Inicio>Muebles Lufe>Muebles de jardín>Conjunto de jardín sofá doble,4.5,13
Conjunto sofá con dos sillones y mesa baja,201.94,Inicio>Muebles Lufe>Muebles de jardín>Conjunto jardín sofá tresillo,4.8,11
Conjunto sofá doble,39.99,Inicio>Muebles Lufe>Camas>Cabecero 9H cama 90,4.6,8
Silla de comedor ,19.99,Inicio>Muebles Lufe>Camas>Cabecero 4  lamas con patas cama 90,4.5,41
Aceite de teka,29.99,Inicio>Muebles Lufe>Camas>Cabecero 4 con patas cama matrimonio,4.7,135
Colchón 190x80 en 17 de espesor,29.99,Inicio>Muebles Lufe>Camas>Cabecero 4 lamas cama de matrimonio,4.6,149
Ambiente cama individual con dos mesillas,19.99,Inicio>Muebles Lufe>Camas>Cabecero 4 lamas cama 80,4,9
Ambiente baño con estanterías básicas,99.99,Inicio>Muebles Lufe>Camas>Camas compactas>Estructura de cama compacta,5,1
Colchón de 200x135 en 21 de espesor,59.99,Inicio>Muebles Lufe>Muebles de almacenaje>Percheros>Perchero Beka 180x100,4.6,38
Almohada de 70,54.99,Inicio>Muebles Lufe>Muebles de almacenaje>Percheros>Perchero Beka 180x70,4.3,32
Colchón de 190x90 en 17 de espesor,64.99,Inicio>Muebles Lufe>Muebles de almacenaje>Percheros>Perchero Beka 180x130,4.5,29
Colchón de 200x90 en 21 de espesor,39.99,Inicio>Muebles Lufe>Sofás,4.3,4
Colchón de 190x90 en 21 de espesor,259.95,Inicio>Muebles Lufe>Sofás,4.6,5
Edredón de 150x220,59.99,Inicio>Muebles Lufe>Sofás,4.6,5
Almohada de 90,59.99,Inicio>Muebles Lufe>Sofás,4.3,4
Edredón de 220x220,181.96,Inicio>Muebles Lufe>Sofás,4.7,5
Colchón de 200x90 en 17 de espesor,64.99,Inicio>Muebles Lufe>Sofás,4.2,4
Colchón de 190x135 en 21 de espesor,294.95,Inicio>Muebles Lufe>Sofás,5,5
Colchón de 200x150 en 21 de espesor,119.98,Inicio>Muebles Lufe>Sofás,4.2,4
Colchón de 200x80 en 17 de espesor,29.98,Inicio>Muebles Lufe>Sofás,4.3,4
Colchón de 190x150 en 21 de espesor,14.99,Inicio>Muebles Lufe>Barnices y aceites>Barnices>Aceite de teka,4.2,13
Ambiente cama Mezanina y cama individual,89.99,Inicio>Muebles Lufe>Camas>Colchones y almohadas>Colchón 190x80 en 17 de espesor,4.5,4
